product_name,sub_category,category,client_price,supplier_price,supplier_name,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Otoscope Speculum Set (סט ספקולות לאוטוסקופ),ציוד רפואי,,169,130,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd48a76be7d64fe9206d3,2026-01-05T15:11:06.818000,2026-01-05T15:11:06.818000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
Handle for otoscope/ophthalmoscope (ידית לאוטוסקופ/אופטלמוסקופ),ציוד רפואי,,926.9,713,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd48abdf2fb1ef8a917bd,2026-01-05T15:11:06.563000,2026-01-05T15:11:06.563000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
"Cytopoint 40 mg/ml 1 ml (ציטופוינט 40 מג/מ""""ל 1 מ"""")""""",אחר,,1508,1160,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd488f5445bb456efcddd,2026-01-05T15:11:04.806000,2026-01-05T15:11:04.806000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
Nobivac KC vaccine 1 dose (תרכיב נוביווק KC 1 מנה),תרופה,,63.7,49,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd4885d21dcea7def251f,2026-01-05T15:11:04.436000,2026-01-05T15:11:04.436000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
"Mannitol solution 18% - 500 ml (תמיסה מניטול 18% - 500 מל)""""",תרופה,,65,50,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd48736bcf7cd46c0a271,2026-01-05T15:11:03.711000,2026-01-05T15:11:03.711000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
"Regular food for adult dogs, large chicken flavor, 3 kg (אוכל רגיל לכלב בוגר טעם עוף גדול 3 קג )""""",מזון,,132.6,102,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd485104e3777e26e1c75,2026-01-05T15:11:01.926000,2026-01-05T15:11:01.926000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
"Norocarp 100 mg - 100 tablets (נורוקארפ 100 מג - 100 טבליות)""""",אחר,,312,240,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd485ecf37ae76e9e16ed,2026-01-05T15:11:01.125000,2026-01-05T15:11:01.125000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
Red catheter - dog (קטטר אדום - כלב),ציוד רפואי,,32.5,25,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd48436568d1182f5acc5,2026-01-05T15:11:00.659000,2026-01-05T15:11:00.659000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
Pink catheter - cat (קטטר ורוד - חתול),ציוד רפואי,,36.4,28,מדי-מרקט,נוצר אוטומטית מסנכרון מחירון ספקים,695bd4849ec575f70a6ee571,2026-01-05T15:11:00.418000,2026-01-05T15:11:00.418000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
Orange catheter - dog (קטטר כתום - כלב),ציוד רפואי,,0,,,נוצר אוטומטית מסנכרון מחירון ספקים,695bd484687907e0571724bf,2026-01-05T15:11:00.170000,2026-01-05T15:11:00.170000,service_917a5686-eec3-4124-8c07-cec1c396401c,service+917a5686-eec3-4124-8c07-cec1c396401c@no-reply.base44.com,false
