product_name,item_type,current_quantity,required_quantity,locations,location,last_counted_by,last_counted_date,id,created_date,updated_date,created_by_id,created_by,is_sample
Danamarin (דנמרין) טבליות 30,תרופה,1,1,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2025-12-23T08:18:52.308Z,694a506c02146fcfe5c52142,2025-12-23T08:18:52.483000,2025-12-23T08:18:52.483000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Autoclave marking tape (סרט סימון לאוטוקלב),ציוד רפואי,2,2,"[{""location"":""חדר ניתוח"",""quantity"":2}]",,שירז איגנץ,2025-12-23T08:16:25.218Z,694a4fd95a07737fb49b1e90,2025-12-23T08:16:25.596000,2025-12-23T08:16:25.596000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
I.P.E.D טיפות אוזנים ,תרופה,2,0,"[{""location"":""חדר בדיקות 1"",""quantity"":2}]",,שירז איגנץ,2025-12-23T08:14:03.103Z,694a4f4bc3550dc0ac70eff9,2025-12-23T08:14:03.284000,2025-12-23T08:14:03.284000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"שמפו רפואי אנטי אלרגני אמפט 250 מ""ל",תכשיר,6,3,"[{""location"":""קבלה"",""quantity"":6}]",,שירז איגנץ,2025-12-23T08:12:31.640Z,694a4eef3febdaead648307b,2025-12-23T08:12:31.813000,2025-12-23T08:12:31.813000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Royal Canin Instinal for Dogs 2 kg (רויאל קנין אינטסטינל לכלב 2 קג),מזון רפואי,0,3,"[{""location"":""קבלה"",""quantity"":0}]",,שירז איגנץ,2025-12-23T08:12:03.322Z,694a4ed35f2526228d05a516,2025-12-23T08:12:03.504000,2025-12-23T08:12:03.504000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Royal Canin Intestinal Puppy Dog 2.5 kg (רויאל קנין אינטסטינל לגור כלב 2.5 קג),מזון רפואי,3,3,"[{""location"":""קבלה"",""quantity"":3}]",,שירז איגנץ,2025-12-23T08:11:56.610Z,694a4ecc2cbf8268a9702c8b,2025-12-23T08:11:56.842000,2025-12-23T08:11:56.842000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Phenylpropanolamine 30 mg 100 tab ( פנילפרופנולאמין 30 מ""ג - 100 טבליות) ",תרופה,0,0,"[{""location"":""חדר בדיקות 1"",""quantity"":2}]",,שירז איגנץ,2025-12-23T08:11:15.493Z,694a4ea362dfde5f7d8418eb,2025-12-23T08:11:15.691000,2025-12-29T10:08:42.461000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
קונג שלישיית כדורי M,צעצועים,6,3,"[{""location"":""קבלה"",""quantity"":6}]",,שירז איגנץ,2025-12-23T08:09:39.275Z,694a4e430415cbaac5253e72,2025-12-23T08:09:39.469000,2025-12-23T08:09:39.469000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
רולר דבק עבה לניקוי שערות,אחר,10,5,"[{""location"":""קבלה"",""quantity"":10}]",,שירז איגנץ,2025-12-23T08:09:19.104Z,694a4e2f24878089da386f28,2025-12-23T08:09:19.286000,2025-12-23T08:09:19.286000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
קונג האכלה וובלר S,צעצועים,3,2,"[{""location"":""קבלה"",""quantity"":3}]",,שירז איגנץ,2025-12-23T08:09:09.365Z,694a4e2595b0715bbeba2a87,2025-12-23T08:09:09.793000,2025-12-23T08:09:09.793000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
