name,description,parameters,is_active,id,created_date,updated_date,created_by_id,created_by,is_sample
ספירת דם - כלב,,"[]",true,693eefb30f6bb519eed235f8,2025-12-14T17:11:15.391000,2025-12-14T17:11:15.391000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
ספירת דם - חתול,,"[]",true,693eef53246d1f2e17446b29,2025-12-14T17:09:39.242000,2025-12-14T17:09:39.242000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
PT/PTT - כלב,,"[{""name"":""PT"",""unit"":""seconds"",""min_normal"":5,""max_normal"":15},{""name"":""APTT"",""unit"":"""",""min_normal"":30,""max_normal"":90},{""name"":""Fib"",""unit"":"""",""min_normal"":0.7,""max_normal"":3.2},{""name"":""TT"",""unit"":"""",""min_normal"":8,""max_normal"":26}]",true,693eef442baf26c703c8b16d,2025-12-14T17:09:24.860000,2025-12-14T17:15:26.051000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה - חמוס נקבה,,"[{""name"":""ALB"",""unit"":""g/dL"",""min_normal"":3.3,""max_normal"":4.1},{""name"":""TP"",""unit"":""g/dL"",""min_normal"":5.6,""max_normal"":7.2},{""name"":""GLU"",""unit"":""mg/dL"",""min_normal"":85,""max_normal"":207},{""name"":""ALP"",""unit"":""U/L"",""min_normal"":3,""max_normal"":62},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":54,""max_normal"":280},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":10,""max_normal"":45},{""name"":""CREA"",""unit"":""mg/dL"",""min_normal"":0,""max_normal"":5},{""name"":""CA"",""unit"":""mg/dL"",""min_normal"":8,""max_normal"":10.2},{""name"":""PHOS"",""unit"":""mg/dL"",""min_normal"":4.2,""max_normal"":10.1},{""name"":""GLOB"",""unit"":""g/dL"",""min_normal"":2.2,""max_normal"":3.2}]",true,693eef3cc1cefb9661539252,2025-12-14T17:09:16.109000,2025-12-14T17:09:16.109000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה - חמוס זכר,,"[{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":60,""max_normal"":125},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":10,""max_normal"":33},{""name"":""Creatinine"",""unit"":""mg/dL"",""min_normal"":0.2,""max_normal"":0.9},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":28,""max_normal"":184}]",true,693eef34c797a8c4719ec0c8,2025-12-14T17:09:08.084000,2025-12-14T17:09:08.084000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה - ארנב,,"[{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":75,""max_normal"":155},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":13,""max_normal"":29},{""name"":""Creatinine"",""unit"":""mg/dL"",""min_normal"":0.5,""max_normal"":2.5},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":25,""max_normal"":65}]",true,693eef2c38b2f9a44d9cea8b,2025-12-14T17:09:00.492000,2025-12-14T17:09:00.492000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה מלאה - כלב,,"[{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":70,""max_normal"":140},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":7,""max_normal"":27},{""name"":""Creatinine"",""unit"":""mg/dL"",""min_normal"":0.5,""max_normal"":1.8},{""name"":""Total Protein"",""unit"":""g/dL"",""min_normal"":5.2,""max_normal"":8.2},{""name"":""Albumin"",""unit"":""g/dL"",""min_normal"":2.3,""max_normal"":4},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":10,""max_normal"":125},{""name"":""ALP"",""unit"":""U/L"",""min_normal"":23,""max_normal"":212}]",true,693eef24d7a3fbf16040ec33,2025-12-14T17:08:52.676000,2025-12-14T17:08:52.676000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה מלאה - חתול,,"[{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":70,""max_normal"":150},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":16,""max_normal"":36},{""name"":""Creatinine"",""unit"":""mg/dL"",""min_normal"":0.8,""max_normal"":2.4},{""name"":""Total Protein"",""unit"":""g/dL"",""min_normal"":5.4,""max_normal"":7.8},{""name"":""Albumin"",""unit"":""g/dL"",""min_normal"":2.1,""max_normal"":3.3},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":12,""max_normal"":130},{""name"":""ALP"",""unit"":""U/L"",""min_normal"":14,""max_normal"":111}]",true,693eef184cfd23737a91deb8,2025-12-14T17:08:40.801000,2025-12-14T17:08:40.801000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה קצרה - חתול,,"[{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":70,""max_normal"":150},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":16,""max_normal"":36},{""name"":""Creatinine"",""unit"":""mg/dL"",""min_normal"":0.8,""max_normal"":2.4},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":12,""max_normal"":130},{""name"":""ALP"",""unit"":""U/L"",""min_normal"":14,""max_normal"":111}]",true,693eef0e8e765c5d94f2730a,2025-12-14T17:08:30.203000,2025-12-14T17:08:30.203000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
כימיה קצרה - כלב,,"[{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":70,""max_normal"":140},{""name"":""BUN"",""unit"":""mg/dL"",""min_normal"":7,""max_normal"":27},{""name"":""Creatinine"",""unit"":""mg/dL"",""min_normal"":0.5,""max_normal"":1.8},{""name"":""ALT"",""unit"":""U/L"",""min_normal"":10,""max_normal"":125},{""name"":""ALP"",""unit"":""U/L"",""min_normal"":23,""max_normal"":212}]",true,693eef06163c3306fb599121,2025-12-14T17:08:22.336000,2025-12-14T17:08:22.336000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
בדיקת שתן,,"[{""name"":""pH"",""unit"":"""",""min_normal"":5.5,""max_normal"":7.5},{""name"":""Protein"",""unit"":""mg/dL"",""min_normal"":0,""max_normal"":30},{""name"":""Glucose"",""unit"":""mg/dL"",""min_normal"":0,""max_normal"":0},{""name"":""Specific Gravity"",""unit"":"""",""min_normal"":1.015,""max_normal"":1.045}]",true,693eeefaa2296959111be168,2025-12-14T17:08:10.330000,2025-12-14T17:08:10.330000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
CBC - חתול,,"[{""name"":""WBC"",""unit"":""10^3/µL"",""min_normal"":5.5,""max_normal"":19.5},{""name"":""RBC"",""unit"":""10^6/µL"",""min_normal"":5,""max_normal"":10},{""name"":""HGB"",""unit"":""g/dL"",""min_normal"":8,""max_normal"":15},{""name"":""HCT"",""unit"":""%"",""min_normal"":24,""max_normal"":45},{""name"":""PLT"",""unit"":""10^3/µL"",""min_normal"":300,""max_normal"":800}]",true,693eeeee726b5b713daf220c,2025-12-14T17:07:58.383000,2025-12-14T17:07:58.383000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
