product_name,category,sub_category,supplier_prices,id,created_date,updated_date,created_by_id,created_by,is_sample
"Dermosant Essential 6 Dog 20-40 kg (דרמוסנט אסנשייאל 6 כלב 20-40 ק""ג)",,,"{""מדי-מרקט"":null,""וט-מרקט"":77,""לינביץ"":null,""אמיתי"":null}",696f3f6db8c887e093d28a79,2026-01-20T08:40:13.983000,2026-01-20T08:40:13.983000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Dexamethasone 10 mg/1 ml - 1 ampoule (דקסמטזון 10 מ""ג /1 מ""ל - אמפולה 1)",תרופות,סטרואידים ואנטיהיסטמינים,"{""מדי-מרקט"":null,""וט-מרקט"":15,""לינביץ"":null,""אמיתי"":null}",6966077336c29cb5c3cd24a7,2026-01-13T08:50:59.343000,2026-01-13T08:50:59.343000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Microscope cover glass 1,000 pcs. (זכוכית מכסה למיקרוסקופ 1,000 יח')",ציוד,ציוד רפואי,"{""מדי-מרקט"":37.8,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",695a9d38df3a367b4b8b5e3d,2026-01-04T17:02:48.222000,2026-01-04T17:02:48.222000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"probe cleanser 25 ml (ניקוי בדיקה / למעבדה מינדריי V-P BC 25 מ""ל)",ציוד,ציוד רפואי,"{""מדי-מרקט"":83,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",695a981226ecce5c9e709031,2026-01-04T16:40:50.603000,2026-01-06T08:35:38.293000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Prednisolone 5 mg - 1000 units (פרדניסולון 5 מג - 1,000 יח')",תרופות,סטרואידים ואנטיהיסטמינים,"{""מדי-מרקט"":340,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",695a8b7f31a1d502d3938e90,2026-01-04T15:47:11.184000,2026-01-04T15:47:11.184000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Phenylpropanolamine 50 mg - 100 tablets (פנילפרופנולאמין 50 מ""ג - 100 טבליות)",תרופות,שתן,"{""מדי-מרקט"":null,""וט-מרקט"":135,""לינביץ"":null,""אמיתי"":null}",69528f5744734f34321b6414,2025-12-29T14:25:27.060000,2026-01-13T08:48:40.152000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
שקית הנשמה למכונת הרדמה 0.5 ליטר ללא לטקס מדיקפרו,ציוד,ציוד רפואי,"{""מדי-מרקט"":18.2,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",69511fc3e1d397041932de0d,2025-12-28T12:17:07.562000,2026-01-04T14:07:43.462000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Microscope lens wiping paper - rice paper (נייר לניגוב עדשות למיקרוסקופ - נייר אורז),ציוד,ציוד רפואי,"{""מדי-מרקט"":35.7,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",694bf1e4abf29f224f99e341,2025-12-24T14:00:04.775000,2026-01-05T14:11:34.667000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Royal Canin Intestinal Puppy Dog 2.5 kg (רויאל קנין אינטסטינל לגור כלב 2.5 קג),מזון,מזון רפואי,"{""מדי-מרקט"":null,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",69491b8126ee9aca4d5f639a,2025-12-22T10:20:49.839000,2026-01-04T15:53:43.509000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Royal Canin Instinal for Dogs 2 kg (רויאל קנין אינטסטינל לכלב 2 קג),מזון,מזון רפואי,"{""מדי-מרקט"":null,""וט-מרקט"":null,""לינביץ"":null,""אמיתי"":null}",69491b545ce3aa7a1cf79ff6,2025-12-22T10:20:04.830000,2026-01-05T09:45:17.726000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
